Dimerization,ZL
0.0,0.4393364985955989
0.05,0.4091646059444781
0.1,0.3592110659588822
0.15,0.3304155966749824
0.2,0.1951249619723062
0.25,0.102028737859309
0.3,-0.007167594515872304
0.35,-0.1602040491782395
0.4,-0.19657836969103198
0.45,-0.278612064485781
0.5,-0.2858416857344198
0.55,-0.2348696467217938
0.6,-0.1260567150157622
0.65,0.008197081920072184
0.7,0.1384323247490724
0.75,0.2435688631741972
0.8,0.3273146264049812
0.85,0.3960937397319826
0.9,0.4525730126880702
0.95,0.4989251921240288
1.0,0.5368248812464702
