Dimerization,ZL
0.0,0.3589859880232047
0.05,0.342385866224643
0.1,0.2816187214920041
0.15,0.2345976444768528
0.2,0.1256647794695336
0.25,0.05698210041106708
0.3,-0.03750318316241502
0.35,-0.1351058642516266
0.4,-0.2053015626277032
0.45,-0.2484845580696643
0.5,-0.2912375180259803
0.55,-0.2752278668681006
0.6,-0.1800040536214138
0.65,-0.01053338521324616
0.7,0.1345668977955841
0.75,0.2426173271284612
0.8,0.3278359675633081
0.85,0.3978604840805302
0.9,0.4532502320644634
0.95,0.4989091679363294
1.0,0.5368248812464116
