Jdis,ZL,error,N
0.7,0.05625570690038453,0.004312498114426689,1000.0
0.75,0.055528445535172756,0.004265715551722391,1000.0
0.8,0.05021817237289024,0.004287150536127507,1000.0
0.85,0.049634417855317,0.004157606555898203,1000.0
0.9,0.04541000784022737,0.004245692127976481,1000.0
0.95,0.040994544525603575,0.004194186813856242,1000.0
1.0,0.036738217985793964,0.004071972957678407,1000.0
1.1,0.02955642440292898,0.003950127304551111,1000.0
1.2,0.02836454683151411,0.003885118699386865,1000.0
1.3,0.025710784464966822,0.0037195789680109035,1000.0
1.4,0.020836448537436134,0.0035817548793859594,1000.0
1.5,0.016555444505637933,0.003468697807341652,1000.0
