Dimerization,ZL,error
0.0,0.4905563713101842,0.0
0.05,0.322979377454392,0.0
0.1,0.2316044715989138,0.0
0.15,0.275090420633174,0.0
0.2,-0.08474886410970144,0.0
0.25,-0.18320051109650898,0.0
0.3,-0.3464746266886805,0.0
0.35,-0.392764768318539,0.0
0.4,-0.4398104088204884,0.0
0.45,-0.4522900935637497,0.0
0.5,-0.4783625512519105,0.0
0.55,0.0809551751458923,0.0
0.6,0.1476048552523846,0.0
0.65,0.33724187064052397,0.0
0.7,0.4399110538751589,0.0
0.75,0.5263828110270117,0.0
0.8,0.5864230902576127,0.0
0.85,0.6353094084146655,0.0
0.9,0.6744989837309129,0.0
0.95,0.7086405439395037,0.0
1.0,0.7341281321104897,0.0
