Dimerization,ZL
0.0,0.1895891873249865
0.05,0.1861081483247094
0.1,0.1217828860079068
0.15,0.07732313086415002
0.2,-0.01167774884533206
0.25,-0.04185113758675542
0.3,-0.1239435399706161
0.35,-0.1980845616937502
0.4,-0.2792083038139952
0.45,-0.3450428251359425
0.5,-0.3235430889337936
0.55,-0.2845087677804224
0.6,-0.1907594307525782
0.65,0.01405005779536306
0.7,0.1426282104630689
0.75,0.245251855341476
0.8,0.3292931583849183
0.85,0.397620178513154
0.9,0.4529059133416207
0.95,0.4989112297376658
1.0,0.5368248812464395
