Dimerization,ZL
0.0,0.4489477154327957
0.05,0.4211451750271901
0.1,0.3261387773285273
0.15,0.2259171235673854
0.2,-0.02134570382380037
0.25,-0.1576780947565261
0.3,-0.2359495906937014
0.35,-0.4022653057563604
0.4,-0.4670857264056472
0.45,-0.4967988482282614
0.5,-0.4847449965658707
0.55,-0.3536115528606729
0.6,0.07009235235756853
0.65,0.3142886119077397
0.7,0.4094814924757298
0.75,0.5098481323692365
0.8,0.5833465709533475
0.85,0.6356181213073118
0.9,0.6766360480170751
0.95,0.7085487127451474
1.0,0.7341281321104501
