Dimerization,ZL
0.0,0.5895842794437063
0.05,0.5574743124021806
0.1,0.4992318857273297
0.15,0.4645062330101671
0.2,0.2067927097623499
0.25,0.08474194014766799
0.3,-0.1104213434720164
0.35,-0.3248075792768779
0.4,-0.3932955326152691
0.45,-0.5004864102747737
0.5,-0.4050651150152271
0.55,-0.1169658507040647
0.6,0.1155951015617434
0.65,0.2780948237079815
0.7,0.4150819843234959
0.75,0.5100444926484015
0.8,0.5821645921481592
0.85,0.6351126620336964
0.9,0.6762180571071217
0.95,0.7086097538297085
1.0,0.7341281321104887
