Dimerization,ZL
0.0,0.6318811077145841
0.05,0.5449148394463931
0.1,0.6187759879392793
0.15,0.4163391943738648
0.2,-0.0690057136463634
0.25,-0.1756080579321729
0.3,-0.3139196435785507
0.35,-0.4261176091048977
0.4,-0.5444585400040072
0.45,-0.5172138840154726
0.5,-0.5351941533494116
0.55,0.03736784297485135
0.6,0.4030722987583262
0.65,0.5443943643647766
0.7,0.6505406362564202
0.75,0.717287349340492
0.8,0.7634042083304478
0.85,0.7971998640921113
0.9,0.8226766465749851
0.95,0.8421192406918786
1.0,0.857020743154175
