Dimerization,ZL
0.0,0.2001745277026888
0.05,0.1890422530512613
0.1,0.06668455851784957
0.15,-0.01955081112065398
0.2,-0.1444658580969704
0.25,-0.1954680664375667
0.3,-0.4004141391581144
0.35,-0.4756647580040123
0.4,-0.53293286516876
0.45,-0.5647807396294906
0.5,-0.5123601725754614
0.55,-0.3777334705649257
0.6,-0.053245129513289136
0.65,0.2918081803901801
0.7,0.4201851145532216
0.75,0.5126949334214614
0.8,0.5836663417457635
0.85,0.635719799499614
0.9,0.6759909310783905
0.95,0.7086485101066073
1.0,0.7341281321104002
