Jdis,O^z,error,N
0.7,-0.2675317849510825,0.0007343410767207152,1000.0
0.75,-0.25730778534721127,0.0007666936811573569,1000.0
0.8,-0.2486622989917716,0.0007948044741142276,1000.0
0.85,-0.24009168787658652,0.0008154327818479055,1000.0
0.9,-0.23153501609119548,0.0008460047145225486,1000.0
0.95,-0.22383575408045434,0.0008637253193897666,1000.0
1.0,-0.2146906433548612,0.0008879336407547822,1000.0
1.1,-0.198073251829011,0.0009219772188756271,1000.0
1.2,-0.1828277208880186,0.0009510107977485928,1000.0
1.3,-0.16866835488271212,0.0009928417868838343,1000.0
1.4,-0.1552866789929019,0.0009958737767328434,1000.0
1.5,-0.14587742453952676,0.000995877101627203,1000.0
