Dimerization,ZL
0.0,-0.924567426457557
0.05,-0.9059247473485614
0.1,-0.8993535548784941
0.15,-0.8571582974208871
0.2,-0.7900729087504442
0.25,-0.5862081057452295
0.3,0.7247849546745395
0.35,0.8224058690879328
0.4,0.8575597329611581
0.45,0.8821187866702849
0.5,0.8998193473215941
0.55,0.9099214297540434
0.6,0.9191902802373664
0.65,0.9176672359519382
0.7,0.9325977538202259
0.75,0.9368171035081756
0.8,0.9405600158191212
0.85,0.9436097075409856
0.9,0.9461085152450276
0.95,0.9481614264133216
1.0,0.9498848473771596
