x2-x1,corr
64,3.808339984338815e-07
64,7.828193569275428e-08
64,7.447882143948635e-08
64,1.6194048617259148e-07
64,1.6302729244347966e-07
64,2.807895062743102e-07
64,2.5286234170097596e-07
64,3.9220922309188934e-07
64,4.2176883995519643e-07
64,3.3745163138052297e-07
64,3.397399569844335e-07
64,2.68352806269845e-07
64,2.5856972438839004e-07
64,5.9053850311714986e-08
64,6.548202519637939e-08
64,4.0025926105976885e-08
64,4.3169684513710905e-08
64,2.085682327403904e-08
64,2.267356317029928e-08
64,2.8296265428795285e-07
64,2.802311232318854e-07
64,3.463458837114938e-06
64,3.5996744684152233e-06
64,2.5003488826980137e-06
64,2.336485007131808e-06
64,3.457831263525991e-07
64,3.1959843231978284e-07
64,3.031904880979989e-07
64,2.90430808556738e-07
64,9.66568636361247e-07
64,7.558608640481148e-07
64,1.0597650527486645e-06
64,1.3669231908999865e-06
64,1.2221585592804055e-07
64,1.346777135372664e-07
64,3.6121043037443977e-09
64,-9.847946771444639e-11
64,4.859241113187024e-08
64,5.900349671576197e-08
64,6.06580258299984e-08
64,5.407279317005568e-08
64,2.1324869472834426e-07
64,2.1766198290010691e-07
64,1.6820626283946644e-07
64,2.0835082228204003e-07
64,1.5141624438795207e-07
64,1.514761329984751e-07
64,3.771152079370206e-08
64,3.749980072317686e-08
64,1.0706696544264508e-08
64,7.426867917089778e-09
64,1.1842070255517564e-08
64,1.606432980657226e-08
64,2.2506657309841586e-08
64,2.379907688197083e-08
64,4.515748712310662e-08
64,4.576929082936339e-08
64,2.4311980694011796e-08
64,2.523712116208495e-08
64,2.502488943219505e-08
64,2.5904905773157118e-08
64,1.8821253050840734e-07
64,1.8477949074348594e-07
64,3.770871151522769e-07
