Dimerization,ZL,error,N
0.0,0.01469383750098894,0.0009539847981047105,7000.0
0.05,0.016258399414409527,0.0009422580895743561,7000.0
0.1,0.01263487733687015,0.0009520118374621278,7000.0
0.15,0.009070042673553677,0.000972425872776886,7000.0
0.2,0.006280827854374378,0.0009996665009799593,7000.0
0.25,0.0018533096721667598,0.0010412676217232079,7000.0
0.3,-0.0008017368582229272,0.0010814290956568933,7000.0
0.35,-0.0041568503974604145,0.0011422232343797237,7000.0
0.4,-0.003165110976655121,0.0012490851055871758,7000.0
0.45,0.0016353013864546324,0.0013746352144517397,7000.0
0.5,0.013378090046039206,0.0015272855879833048,7000.0
