x1,x2,corr
0,1,0.6791303275196291
0,2,-0.7241386126006613
0,3,-0.534871883786703
0,4,0.4364592381299829
0,5,0.291120847453097
0,6,-0.2658268436714007
0,7,-0.1668050615240651
0,8,0.1358477010428833
0,9,0.1058664712086595
0,10,-0.09342472018958672
0,11,-0.09617428470632294
0,12,0.09794985718919687
0,13,0.08182417110327671
0,14,-0.07636306410889836
0,15,-0.06408010573857718
0,16,0.06002784755293841
1,11,-0.1261122081462509
1,12,0.121827692340379
1,13,0.09537273989347821
1,14,-0.08851983016988717
1,15,-0.0739912032546519
1,16,0.06976723886157032
1,17,0.05751867699934265
2,12,-0.1313144739767787
2,13,-0.1009386841632449
2,14,0.09326714630428691
2,15,0.07793507608176588
2,16,-0.07382677114828957
2,17,-0.06129889523329535
2,18,0.05574441767312111
3,13,-0.1214952998816227
3,14,0.1111573657528583
3,15,0.09161489675287945
3,16,-0.08679442036358626
3,17,-0.07211325329634768
3,18,0.0655696995241057
3,19,0.04635161394588837
4,14,-0.1210483604029907
4,15,-0.09884799625578289
4,16,0.09326420915379301
4,17,0.07738534850965942
4,18,-0.07063051284353725
4,19,-0.05003619896369146
4,20,0.04768283734445715
5,15,-0.1279114506225966
5,16,0.119195558084872
5,17,0.09414561351945779
5,18,-0.08452035989018705
5,19,-0.05891252997760518
5,20,0.0563639995307346
5,21,0.09419198750414817
6,16,-0.1233096444509955
6,17,-0.09252185661280016
6,18,0.08070925455983649
6,19,0.05534850720896222
6,20,-0.0533337618050696
6,21,-0.08255935384099962
6,22,0.0865408249588582
7,17,-0.09138422270280784
7,18,0.07813206065969618
7,19,0.05213496454132578
7,20,-0.05036754578948136
7,21,-0.0500983001528789
7,22,0.05517839658422174
7,23,0.0550080218962133
8,18,-0.09314536402099878
8,19,-0.06305042531774344
8,20,0.0602869418791397
8,21,0.04443158908559094
8,22,-0.04989375464724795
8,23,-0.0473257176541963
8,24,0.05141090260888764
9,19,-0.08435326438919633
9,20,0.08070243078728181
9,21,0.03961731274790724
9,22,-0.04416372705858278
9,23,-0.03572624270566723
9,24,0.03638143385220203
9,25,0.03600448510696378
10,20,-0.1007235540727582
10,21,-0.04948101558586002
10,22,0.05261534630335119
10,23,0.04079364024750965
10,24,-0.04050544774107545
10,25,-0.04068388377913985
10,26,0.04446265231319826
11,21,-0.09656792645713101
11,22,0.09826011952579268
11,23,0.07058158771141575
11,24,-0.06689907005574654
11,25,-0.06286966230056525
11,26,0.06808525456670038
11,27,0.0913990034011138
12,22,-0.1228631145883304
12,23,-0.08519896898064042
12,24,0.0794418145733127
12,25,0.0706126550876704
12,26,-0.07650117345270308
12,27,-0.103423572665836
12,28,0.1056151558915908
13,23,-0.1246471086492363
13,24,0.1123202633111625
13,25,0.08107582919144657
13,26,-0.08595705125920992
13,27,-0.1132855391693828
13,28,0.1167040303274784
13,29,0.05272137597702417
14,24,-0.1224940061241206
14,25,-0.0806713220078069
14,26,0.08413464833865993
14,27,0.1074983588277982
14,28,-0.113253123254564
14,29,-0.04924181855106705
14,30,0.0518283493289243
15,25,-0.07615242381086836
15,26,0.0758305502623076
15,27,0.0847232268899345
15,28,-0.08843172229417527
15,29,-0.04094572933960541
15,30,0.04338384503828397
15,31,0.05969785990581299
16,26,-0.07127103190640886
16,27,-0.07301662458503999
16,28,0.07473540280056183
16,29,0.03795359945774906
16,30,-0.04040545050980508
16,31,-0.05600252607097343
17,27,-0.04162799208689645
17,28,0.04016408701360154
17,29,0.02914568429669545
17,30,-0.03134449556946586
17,31,-0.04457650500312475
18,28,-0.02996614462785936
18,29,-0.02582262173435685
18,30,0.0277844881387573
18,31,0.03983452668494496
19,29,-0.01627644662606132
19,30,0.01771851810901623
19,31,0.02624483295365575
20,30,-0.01634817540715713
20,31,-0.02445711057542871
21,31,-0.07665755163719797
