Dimerization,O^z,error
0.0,-0.15549121760363777,0.0
0.05,-0.15526802635353537,0.0
0.1,-0.156389487662173,0.0
0.15,-0.15416304913137419,0.0
0.2,-0.15210619341583362,0.0
0.25,-0.1485995913960205,0.0
0.3,-0.14318938741362214,0.0
0.35,-0.1355378853713304,0.0
0.4,-0.12100471974965445,0.0
0.45,-0.10661088708014009,0.0
0.5,-0.08772229415151118,0.0
0.55,-0.06683907014135236,0.0
0.6,-0.0466597975793299,0.0
0.65,-0.029411590369165696,0.0
0.7,-0.014286926127946893,0.0
