x1,x2,corr,corr2
0,0,-0.1553072687606361,-0.3720017988412828
0,1,0.06793612137050767,-0.1487584087101391
0,2,0.04331271055345473,-0.173381819527192
0,3,0.1033509727457507,-0.1133435573348961
0,4,0.03284377106784622,-0.1838507590128005
0,5,0.09704745957539512,-0.1196470705052516
0,6,0.0352149322147252,-0.1814795978659215
0,7,0.09989861811038514,-0.1167959119702616
0,8,0.03333229166268934,-0.1833622384179574
0,9,0.1078677191708752,-0.1088268109097716
0,10,0.0001364855290785824,-0.2165580445515682
0,11,0.1147752080939043,-0.1019193219867425
0,12,0.00577012105994547,-0.2109244090207013
0,13,0.1140474763269859,-0.1026470537536608
0,14,0.007236606974057066,-0.2094579231065897
0,15,0.1120748891765147,-0.104619640904132
0,16,0.01469193591774706,-0.2020025941628997
1,1,-0.1732951298232673,-0.443293651194085
1,2,-0.008683606062117991,-0.2786821274329357
1,3,0.122794787674542,-0.1472037336962757
1,4,0.03192843307799911,-0.2380700882928186
1,5,0.1154015031785234,-0.1545970181922943
1,6,0.03791937473573273,-0.232079146635085
1,7,0.1123328491314593,-0.1576656722393584
1,8,0.0376368877919588,-0.2323616335788589
1,9,0.1207580132631408,-0.1492405081076769
1,10,0.0001889972496610145,-0.2698095241211567
1,11,0.1281161377295582,-0.1418823836412595
1,12,0.006440623444999516,-0.2635578979258182
1,13,0.1273033761594256,-0.1426951452113921
1,14,0.00807781933847145,-0.2619207020323462
1,15,0.1251014523872201,-0.1448970689835976
1,16,0.01640000312206037,-0.2535985182487573
1,17,0.117412338230556,-0.1525861831402617
2,2,-0.05712814652335835,-0.08616707662688659
2,3,0.04070633895093068,0.01166740884740244
2,4,0.04364524235399395,0.01460631225046572
2,5,0.03123998555874904,0.002201055455220802
2,6,0.01490830920531256,-0.01413062089821568
2,7,0.03526031269203387,0.006221382588505634
2,8,0.01189365729198889,-0.01714527281153934
2,9,0.0395882216358919,0.01054929153236367
2,10,6.260428633671286e-05,-0.02897632581719152
2,11,0.04201654079254503,0.01297761068901679
2,12,0.002112909479568728,-0.02692602062395951
2,13,0.04175071918760362,0.01271178908407538
2,14,0.002649793548569254,-0.02638913655495898
2,15,0.04102843539503372,0.01198950529150548
2,16,0.005378819886574619,-0.02366011021695362
2,17,0.03850772216037343,0.009468792056845195
2,18,0.01348174959081282,-0.01555718051271541
3,3,-0.2264836145870408,-0.6878354897307466
3,4,-0.01334280689927561,-0.4746946820429814
3,5,0.1580931423735991,-0.3032587327701067
3,6,0.04736962331526853,-0.4139822518284373
3,7,0.1494565416260389,-0.3118953335176669
3,8,0.04878778222450206,-0.4125640929192037
3,9,0.1575139363674159,-0.3038379387762898
3,10,0.0002218514640688071,-0.461130023679637
3,11,0.1674711651966271,-0.2938807099470787
3,12,0.008418958044785402,-0.4529329170989204
3,13,0.1664093251013646,-0.2949425500423412
3,14,0.01055855104730402,-0.4507933240964018
3,15,0.163531235153089,-0.2978206399906168
3,16,0.02143662492012487,-0.4399152502235809
3,17,0.15348193425512,-0.3078699408885858
3,18,0.053739132091043,-0.4076127430526628
3,19,0.1417270775958403,-0.3196247975478654
4,4,-0.06643102039190621,-0.1060766749633685
4,5,0.01529655928379403,-0.02434909528766827
4,6,0.02847146623777833,-0.01117418833368397
4,7,0.03928687049041098,-0.0003587840810513193
4,8,0.01424575895975964,-0.02539989561170265
4,9,0.04622089452051644,0.006575239949054144
4,10,0.0001150079018093296,-0.03953064666965297
4,11,0.04909297947881509,0.00944732490735279
4,12,0.002468217849853649,-0.03717743672160865
4,13,0.04878116382968793,0.009135509258225635
4,14,0.00309602208200748,-0.03654963248945482
4,15,0.04793720513427289,0.008291550562810598
