x1,x2,corr,corr2
0,0,-0.05338380564528449,-0.07903228199184603
0,1,-1.311090747077646e-15,-0.02564847634656286
0,2,0.0007154879196210569,-0.02493298842694049
0,3,0.03787519383670349,0.01222671749014194
0,4,0.008803102469001681,-0.01684537387755987
0,5,0.0359310107633524,0.01028253441679085
0,6,0.01154066122111933,-0.01410781512544221
0,7,0.03417563768112288,0.008527161334561335
0,8,0.01200213917189533,-0.01364633717466622
0,9,0.0363076728085841,0.01065919646202255
0,10,0.006978107148180684,-0.01867036919838086
0,11,0.03029326543132275,0.004644789084761205
0,12,0.0214026255955678,-0.004245850750993742
0,13,0.0243253070524908,-0.001323169294070742
0,14,0.02135840186322618,-0.00429007448333537
0,15,0.02925004582932717,0.003601569482765625
0,16,0.01194870080801587,-0.01369977553854568
1,1,-0.2343171321929311,-0.7284577981450071
1,2,1.051495795172293e-15,-0.494140665952075
1,3,0.1662510778934942,-0.3278895880585818
1,4,0.03863456103710024,-0.4555061049149758
1,5,0.1577422986746504,-0.3363983672774256
1,6,0.05062324355481882,-0.4435174223972572
1,7,0.1500532539438592,-0.3440874120082168
1,8,0.05265197013144749,-0.4414886958206285
1,9,0.1593921183904927,-0.3347485475615833
1,10,0.03059910612127818,-0.4635415598307978
1,11,0.1329901196997225,-0.3611505462523535
1,12,0.09391905529819501,-0.400221610653881
1,13,0.1068355860733663,-0.3873050798787097
1,14,0.09379240821692032,-0.4003482577351557
1,15,0.1283472953997024,-0.3657933705523736
1,16,0.05255078682973544,-0.4415898791223405
1,17,0.1370658333120388,-0.3570748326400371
2,2,-0.0009166045488489342,-0.0009241660239396703
2,3,7.750801718327873e-16,-7.561475089961045e-06
2,4,0.001481520934316517,0.001473959459225781
2,5,0.0005105760802253521,0.000503014605134616
2,6,0.0003746479436689503,0.0003670864685782142
2,7,0.0005238240089855569,0.0005162625338948207
2,8,0.0002413728530781348,0.0002338113779873987
2,9,0.0006160032337209919,0.0006084417586302558
2,10,3.876756305163937e-05,3.120608796090325e-05
2,11,0.0005398212014066371,0.0005322597263159011
2,12,0.0003343858837100067,0.0003268244086192706
2,13,0.0004312858803445589,0.0004237244052538228
2,14,0.0004196784153318815,0.0004121169402411454
2,15,0.000499409942280176,0.0004918484671894399
2,16,0.0002894001970309268,0.0002818387219401907
2,17,0.0005338404687876498,0.0005262789936969136
2,18,0.0003588877457188718,0.0003513262706281356
