Jdis,ZL,error,N
0.5,0.2797410349125931,0.0010648647568817862,6000.0
1.0,0.13111881008729145,0.0014001209231432894,6000.0
1.5,0.05329005803885722,0.001272015185383472,6000.0
2.0,0.021938265567407526,0.0010548067449762846,6000.0
2.5,0.008811218222206122,0.0009263010616140211,5999.0
3.0,0.0035880660225110655,0.000849086260654826,5997.0
3.5,0.002019888427195532,0.0008544106193586047,5973.0
4.0,0.00223131645391428,0.0008586690118316571,5941.0
4.5,0.0030913957469001435,0.0009198472811376753,5807.0
5.0,0.003592116342421048,0.0009797005114033637,5703.0
5.5,0.0022340595594555965,0.0010277795219681828,5508.0
6.0,0.007373591004478071,0.0011302864459420223,5197.0
