Jdis,O^z,error,N
0.7,-0.26577070908358336,0.0007202720327507243,1000.0
0.75,-0.2579683256660335,0.0007546745601892077,1000.0
0.8,-0.2520676009395937,0.0007680346672821913,1000.0
0.85,-0.24355982422119726,0.0008097891337574632,1000.0
0.9,-0.23704883800435794,0.0008319430883820258,1000.0
0.95,-0.23008954462951306,0.00084668939726519,1000.0
1.0,-0.22204674842599798,0.0008680194460584198,1000.0
1.1,-0.20796553395632422,0.0009168217084351139,1000.0
1.2,-0.19348120929702334,0.0009502886279004179,1000.0
1.3,-0.17802663781850267,0.0009769858025820753,1000.0
1.4,-0.1668855541613954,0.0009960306911291996,1000.0
1.5,-0.1546508924401465,0.0009968683890600506,1000.0
