Dimerization,O^z,error,N
0.05,-0.040882223285201594,0.00022790326494178097,4000.0
0.1,-0.04037592476425099,0.0002296665509575254,4000.0
0.15,-0.039835746054111866,0.00022491541223298772,4000.0
0.2,-0.03780446085117689,0.00022493376515236903,4000.0
0.25,-0.036021839238054465,0.00021589550116340146,4000.0
0.3,-0.03341740818915664,0.0002176406483422819,4000.0
0.35,-0.0315407462456921,0.0002056245038691674,4000.0
0.4,-0.028571612508071456,0.0001981451217394002,4000.0
0.45,-0.02542602040564284,0.00018450827878842876,4000.0
0.5,-0.021045014627552008,0.0001721969425176955,4000.0
