Jdis,ZL,error,N
0.1,-0.792273561368045,0.0005115514477268817,663.0
0.2,-0.7828583416893174,0.0006411449312665844,1000.0
0.3,-0.7627807282976222,0.0012592051463044714,1000.0
0.4,-0.7224938910393901,0.0032747168983775048,565.0
0.5,-0.6740325768151695,0.004032531443289475,1000.0
0.6,-0.6071973763520505,0.005582685514269866,1000.0
0.7,-0.5342110773396405,0.006732133083553277,1000.0
0.8,-0.4536350030196364,0.007795845577142652,1000.0
0.9,-0.38213511666729394,0.008361621401087767,1000.0
1.0,-0.3216774516211087,0.008673866796197586,1000.0
1.1,-0.2661694242075494,0.008875372638219088,1000.0
1.2,-0.21615640499521058,0.008972538760720713,1000.0
1.5,-0.1120033724052393,0.008756804796936612,1000.0
1.8,-0.04942890539444973,0.008347794317790263,1000.0
