x2-x1,corr
1,1.1446054791508176
2,0.6616072224564478
3,0.5800437607216202
4,0.37927747885201085
5,0.3089847311036158
6,0.22951014016449092
7,0.20176172149729815
8,0.15169480295121765
9,0.1253303899917736
10,0.09660113787453557
11,0.08057165847676427
12,0.06681980608915342
13,0.056654847339600564
14,0.047863386482462154
15,0.04127921767454359
16,0.03543705775725106
17,0.031095699758311036
18,0.02711633086032187
19,0.024058125642602367
20,0.021193420478778566
21,0.01888153461211712
22,0.016605456415413847
23,0.014773569653531306
24,0.012875496841593656
25,0.011378623864849252
26,0.009875668341329299
27,0.008774510595668682
28,0.007774884811879839
29,0.007117753091488041
30,0.006552607752618653
31,0.0062955004117810414
32,0.006082656644271848
