Dimerization,ZL,error,N
0.0,-0.2820623797834509,0.01873171941060445,250.0
0.05,-0.26449535648666095,0.019528026389523893,250.0
0.1,-0.2281594509613647,0.020771228585646173,250.0
0.15,-0.13258125643875132,0.02247763546763554,250.0
0.2,-0.031712897209693565,0.023685173174672437,250.0
0.25,0.07098901609951554,0.023544738497237976,250.0
0.3,0.19749060815423347,0.022161568382265115,250.0
0.35,0.3256532378500454,0.019246932148507333,250.0
0.4,0.41517629720065663,0.01818982278804743,250.0
0.45,0.5193769020088592,0.014664972562191292,250.0
0.5,0.5792906317273171,0.014104264775623893,250.0
0.55,0.6559376251204334,0.010214558580788926,250.0
0.6,0.7000236685377736,0.00870247129968783,250.0
0.65,0.7427800025958219,0.0077816258155721674,250.0
0.7,0.7695436422816193,0.008157801894271425,250.0
0.75,0.7989045326492755,0.007454579072004565,250.0
0.8,0.8231016531566113,0.003786898209030733,250.0
0.85,0.8358119883771176,0.005525194520380267,250.0
0.9,0.8537913636932044,0.0010657979921060068,250.0
0.95,0.8640027814898047,0.0004070370988562639,250.0
1.0,0.87173128898408,2.119471050611923e-15,250.0
