Dimerization,O^z,error,N
0.1,-0.18092195887415127,0.0005191326927338102,500.0
0.2,-0.20808975978558159,0.0005606864613310621,500.0
0.3,-0.2337850653314464,0.0005937897562509483,500.0
0.4,-0.23045127484869005,0.0006428848974239252,500.0
0.5,-0.15128569772802597,0.0007158789141669815,500.0
0.6,-0.04338953667818553,0.00044083641742969634,500.0
0.7,-0.004105818807110274,9.823221077600092e-05,500.0
0.8,-5.384890465906722e-05,7.661337478446947e-06,500.0
0.9,-2.65285635427219e-07,1.0492446205783196e-07,500.0
1.0,-2.0737845060608512e-16,1.3031174080255398e-16,500.0
