Jdis,ZL,error,N
0.0,-0.2375080927836259,0.0,1.0
0.5,-0.1107129247925094,0.005073922626876866,500.0
1.0,-0.05888050990259135,0.005210838103734019,500.0
1.5,-0.029219936833356018,0.004677501318292115,500.0
2.0,-0.011625756894084254,0.004265840544312056,500.0
2.5,-0.0019596291227230466,0.004139945434972513,500.0
3.0,0.004674892239090525,0.004001947924288984,500.0
3.5,0.008176676090461037,0.003954512644123069,500.0
4.0,0.013751830656199232,0.003812748749568338,499.0
4.5,0.016386715479299457,0.00363257562476625,495.0
5.0,0.012312089440252553,0.0038677947373667526,492.0
5.5,0.015497848520688822,0.0040966041495568714,482.0
6.0,0.01261675967231205,0.004153230294428742,462.0
