Dimerization,O^z,error,N
0.1,-0.015304347550447683,0.0005250978335354592,498.0
0.2,-0.013193042948548698,0.0005379413284201121,500.0
0.3,-0.01257576284995332,0.0005778959878580966,500.0
0.4,-0.010774171118973897,0.0004949037120228645,499.0
0.5,-0.009229206735414738,0.0004416000764005714,499.0
0.6,-0.006315385382471262,0.00043975480425708914,499.0
0.7,-0.002901867523072556,0.00033985016807766853,500.0
0.8,-0.0013211450241149448,0.00025553522805996353,499.0
0.9,-0.001008892840949006,0.0001418139958621107,499.0
1.0,-2.629896046381353e-13,3.6239420450572872e-12,500.0
