Dimerization,ZL,error,N
0.0,0.15940530439792552,0.0031534581680552356,1000.0
0.05,0.15462727718916328,0.003218331612891679,1000.0
0.1,0.13757970035461956,0.0035125520463478517,1000.0
0.15,0.11698910622069089,0.003798977066008664,1000.0
0.2,0.07947494598101433,0.004108098525067841,1000.0
0.25,0.04541000784022737,0.004245692127976481,1000.0
0.3,0.003299746967748611,0.004297756297170843,1000.0
0.35,-0.03667667363494144,0.004008363719459789,1000.0
0.4,-0.0673223792866556,0.0036908630668702792,1000.0
0.45,-0.09394013677180335,0.0032747601364443474,1000.0
0.5,-0.10734829068906904,0.003060960424156837,1000.0
0.55,-0.10052050375197571,0.0031730023082157375,1000.0
0.6,-0.07114710215154778,0.0035253542700871736,1000.0
0.65,-0.02147027234592469,0.003946272781693705,1000.0
0.7,0.04836437013095225,0.004232554151839918,1000.0
