x2-x1,corr
32,2.978000445832644e-06
32,4.076120296161709e-06
32,3.731661241874747e-06
32,5.2250579005475385e-06
32,5.026451016910477e-06
32,7.5022394118686245e-06
32,7.69419946475669e-06
32,7.447166919661653e-06
32,1.0492643415162355e-05
32,-9.77534120939346e-06
32,-8.783172893532574e-06
32,-1.1720870007074493e-05
32,-1.2755362430794188e-05
32,6.347339503479449e-06
32,6.1295563977132075e-06
32,1.974593381480616e-05
32,2.229960249347154e-05
32,-2.691281590817925e-06
32,-2.5720297623756475e-06
32,-1.4178704523030053e-06
32,-1.0586198308592462e-06
32,2.6538124982427496e-05
32,2.459462612071072e-05
32,2.2223081460368447e-05
32,1.993347935743944e-05
32,-0.00013805303130900317
32,-7.24361117432493e-05
32,-6.55040717518341e-06
32,-6.274460155751827e-06
32,-1.0294436438186032e-05
32,-9.787543494908286e-06
32,2.941834856699004e-06
