Jdis,O^z,error,N
0.7,-0.1197042546591648,0.0007684681647639288,1000.0
0.75,-0.11488931207721023,0.0007715684059027977,1000.0
0.8,-0.11083475881130513,0.0007861109996438229,1000.0
0.85,-0.10827641436378346,0.000789396386911693,1000.0
0.9,-0.10402730668544154,0.0007986156765161861,1000.0
0.95,-0.10082961094891989,0.0007973628229959581,1000.0
1.0,-0.09725085492267438,0.0008070467266122557,1000.0
1.1,-0.09061845576411584,0.0008191765720432085,1000.0
1.2,-0.0841278370018865,0.0008128645580019588,1000.0
1.3,-0.08060835189865069,0.0008188069653404537,1000.0
1.4,-0.07767671543495443,0.0008340715951545077,1000.0
1.5,-0.07148334261708511,0.000824386306770465,1000.0
