Dimerization,ZL,error
0.0,-0.8526760160428072,0.0
0.05,-0.8480183529059643,0.0
0.1,-0.7723966841361583,0.0
0.15,-0.5840753806450352,0.0
0.2,0.2993973881285995,0.0
0.25,0.5795283114827421,0.0
0.3,0.667001293995621,0.0
0.35,0.7267380714186941,0.0
0.4,0.7767654700039172,0.0
0.45,0.8052089510869693,0.0
0.5,0.8155089741577943,0.0
0.55,0.8368362061557344,0.0
0.6,0.8564693998357112,0.0
0.65,0.8641989871486839,0.0
0.7,0.875352097243213,0.0
0.75,0.8821055711561755,0.0
0.8,0.8886142390438679,0.0
0.85,0.8924328435918956,0.0
0.9,0.8962779777484696,0.0
0.95,0.8992527757540942,0.0
1.0,0.9022252483954246,0.0
