x2-x1,corr
1.0,1.3626167825956004
2.0,0.6921094943637836
3.0,0.5147211967510879
4.0,0.3808239296403545
5.0,0.3268373595325781
6.0,0.2529734528556664
7.0,0.2116453557957776
8.0,0.1790825018873594
9.0,0.15502352209639325
10.0,0.12354033554818464
11.0,0.10750432873812046
12.0,0.09151222649398938
13.0,0.08002538370861012
14.0,0.06887263942975436
15.0,0.06045676457375884
16.0,0.052483844074105446
17.0,0.046382173901506445
18.0,0.040614701440751556
19.0,0.03618549850866823
20.0,0.032016540688306144
21.0,0.02875220715101809
22.0,0.025866491344453502
23.0,0.023579928956837807
24.0,0.021673822028609825
25.0,0.0199486112111013
26.0,0.018492619449976627
27.0,0.01752323734125272
28.0,0.016597957258142736
29.0,0.01590673750181532
30.0,0.015225067577946498
31.0,0.014952498589262639
32.0,0.014736533629750019
