Dimerization,ZL,error,N
0.0,0.008869057823937857,0.003283126195323799,500.0
0.05,0.005474143885667231,0.0032697386238087116,500.0
0.1,0.0034136342395948496,0.0034019664221122533,500.0
0.15,0.003415987844524669,0.003389724469618938,500.0
0.2,0.004098020589421983,0.003570485187605836,500.0
0.25,0.00303556673157324,0.003523080226526995,499.0
0.3,0.0013757620998590076,0.004045243196926848,500.0
0.35,-0.0012120729425145734,0.004195050927871434,500.0
0.4,0.0126421647139379,0.0046723650862149765,500.0
0.45,0.017182008949803932,0.00497671240915689,500.0
0.5,0.024422679093208447,0.005503514400639077,500.0
