Dimerization,ZL
0.0,-0.8024132173610943
0.02,-0.7981280381410987
0.04,-0.7920986328990494
0.06,-0.7809736127363691
0.08,-0.7734896730374583
0.1,-0.7598457583284746
0.12,-0.7084349612506723
0.14,-0.6863867752169382
0.16,-0.6262382847897905
0.18,-0.5657463081413838
0.2,-0.5351546770720845
0.22,-0.5132753174987947
0.24,-0.389860197556635
0.26,-0.2268659528631788
0.28,-0.04250431153632797
0.3,0.2146917776705146
0.32,0.3414516141507459
0.34,0.4083916138096433
0.36,0.46521344528308706
0.38,0.5111023531044104
0.4,0.5431754167203798
0.42,0.5668688836094434
0.44,0.5989477720320395
0.46,0.6154980482794175
0.48,0.6396588891996668
0.5,0.6561097945016701
0.52,0.6708686248703112
0.54,0.683909933595202
0.56,0.6965089299371903
0.58,0.7083215276260072
0.6,0.7178653566030613
0.62,0.727247121923613
0.64,0.7354212633342982
0.66,0.7426663120992856
0.68,0.7498835447822995
0.7,0.7563530004366346
0.72,0.7622861904163613
0.74,0.7677924849601352
0.76,0.7731161759212154
0.78,0.7778478290746033
0.8,0.7821052454283565
0.82,0.7863966526436657
0.84,0.7901423700169377
0.86,0.7937749848688725
0.88,0.7972659982619191
0.9,0.8004417525445209
0.92,0.8033555844816794
0.94,0.8062129602967157
0.96,0.8087985464837619
0.98,0.8112756177213124
1.0,0.8136043734008787
