Dimerization,ZL
0.0,-0.8066260969947983
0.05,-0.8031016591494874
0.1,-0.7821255100110043
0.15,-0.7371563535223101
0.2,-0.6258868487006781
0.25,-0.3099093671906685
0.3,0.1646137680407502
0.35,0.4049100594127903
0.4,0.5326860881383543
0.45,0.6037495036254512
0.5,0.6553033243932387
0.55,0.6899149213023091
0.6,0.7178161826211596
0.65,0.7390976677895752
0.7,0.7563042860508322
0.75,0.7704319901718851
0.8,0.7821765208209941
0.85,0.7920388263571172
0.9,0.8003888090338849
0.95,0.8075056955147918
1.0,0.8136043734008781
