Dimerization,ZL,error,N
0.0,0.010512315397210472,0.0008804816854428351,6999.0
0.05,0.011275778366283977,0.0008791766923531525,6999.0
0.1,0.007877312483287187,0.0008906045565852459,7000.0
0.15,0.005898266183287572,0.0009205870471996115,6998.0
0.2,0.004962656821461336,0.0009464135115147624,6999.0
0.25,0.002180546484510077,0.0009958831019322896,7000.0
0.3,0.002025999590648344,0.0010451406229641804,6998.0
0.35,0.00019998367586879635,0.0011199419898259464,7000.0
0.4,0.0030578835341604693,0.0012156395940127237,7000.0
0.45,0.008928044483304995,0.0013403968429181764,7000.0
0.5,0.017634471465111014,0.0015023146800819452,7000.0
