Dimerization,ZL,error,N
0.0,0.009734934380697554,0.0032583685786420624,500.0
0.05,0.007672175536252052,0.0033716811310406814,500.0
0.1,0.0047262438997573925,0.003217806223089552,500.0
0.15,0.0015034304734135864,0.0035311538238899888,500.0
0.2,0.005577479294924682,0.0035231479158412235,500.0
0.25,0.0007525796959247442,0.003747787919323455,500.0
0.3,0.004866941679058565,0.0040078325540889945,500.0
0.35,0.0029679272235071776,0.004239827116209188,500.0
0.4,0.0027746495964111133,0.004713311626460177,500.0
0.45,0.009760976586515046,0.004982485531034307,500.0
0.5,0.025484877396863708,0.005607506283642657,500.0
