Dimerization,O^z,error,N
0.0,-0.1572708469342426,0.0,1000.0
0.05,-0.15671378467414565,0.0,1000.0
0.1,-0.1609934096789168,0.0,1000.0
0.15,-0.16351859298850582,0.0,1000.0
0.2,-0.16773092063193049,0.0,1000.0
0.25,-0.16912778969962622,0.0,1000.0
0.3,-0.16962823718938513,0.0,1000.0
0.35,-0.16152839271415087,0.0,1000.0
0.4,-0.14673065045792988,0.0,1000.0
0.45,-0.1238376012993331,0.0,1000.0
0.5,-0.09394477660250457,0.0,1000.0
0.55,-0.06446814657339024,0.0,1000.0
0.6,-0.035864805609351645,0.0,1000.0
0.65,-0.016207705652212866,0.0,1000.0
0.7,-0.00569533403323988,0.0,1000.0
