Dimerization,O^z,error,N
0.0,-0.24655456317533256,0.0,1000.0
0.05,-0.24603175853263026,0.0,1000.0
0.1,-0.2480214056476498,0.0,1000.0
0.15,-0.25000784712753554,0.0,1000.0
0.2,-0.2520676009395937,0.0,1000.0
0.25,-0.25161032854788173,0.0,1000.0
0.3,-0.2486622989917716,0.0,1000.0
0.35,-0.242493870452333,0.0,1000.0
0.4,-0.22958937044881503,0.0,1000.0
0.45,-0.21095375240825331,0.0,1000.0
0.5,-0.1818799648789389,0.0,1000.0
0.55,-0.14929931045406103,0.0,1000.0
0.6,-0.11083475881130513,0.0,1000.0
0.65,-0.07390801905679116,0.0,1000.0
0.7,-0.04106522165382229,0.0,1000.0
