Jdis,O^z,error,N
0.0,-1.159804718630636e-15,1.0979208813149453e-15,1.0
0.5,3.359438414425146e-16,3.52070299448168e-16,500.0
1.0,-5.291010464380195e-16,7.767991935375446e-16,500.0
1.5,-1.466442252483511e-15,2.12346183856409e-15,500.0
2.0,-1.484108476638794e-14,4.4062230113440154e-14,500.0
2.5,1.0705393940059717e-13,9.620182395712127e-14,500.0
3.0,-3.009835111219627e-10,2.4590818378092894e-10,500.0
3.5,-2.049959089465613e-09,1.3163689310766697e-09,500.0
4.0,-3.424001889336429e-08,3.617019144810923e-08,493.0
4.5,-8.306314649432414e-09,4.773727417547474e-09,485.0
5.0,-3.292415018321903e-09,2.0343641580197486e-09,466.0
5.5,3.025572588976424e-09,2.6957292312437008e-08,451.0
6.0,-5.0411810915682015e-09,3.958177500180092e-09,423.0
