Dimerization,ZL,error,N
0.0,0.004615563808132328,0.0030729708677106763,500.0
0.1,0.008048314299030782,0.0032038014023073854,500.0
0.2,0.0023804281226172002,0.003593138261180892,500.0
0.3,0.008768856286789648,0.003926517917534813,500.0
0.4,0.016435196346663673,0.004352647622110603,500.0
0.5,0.03358729062038323,0.005442190575145609,499.0
0.6,0.054298954611940654,0.006668055541327549,499.0
0.7,0.11271602610039719,0.008678565789240134,500.0
0.8,0.19345627567027326,0.01036745308898631,500.0
0.9,0.35521543633796726,0.011882941440271437,498.0
1.0,0.7341268477920214,1.2893291823110964e-06,500.0
