Jdis,ZL,error,N
0.1,-0.8705720095028221,0.0003184662345604426,1000.0
0.2,-0.8668317455857997,0.00037817130350199617,1000.0
0.3,-0.8569737927025807,0.0005906190547397638,1000.0
0.4,-0.8342615105735363,0.0013696744544284894,1000.0
0.5,-0.7868635720859931,0.0036664896016746842,1000.0
0.6,-0.7172789560298399,0.005678908790410093,1000.0
0.7,-0.6194325919423072,0.00792796020725998,1000.0
0.8,-0.5142148650794242,0.009025675854093966,1000.0
0.9,-0.40480362178333495,0.009958227882280077,1000.0
1.0,-0.3035832136794073,0.010269799830113033,1000.0
1.1,-0.22242206080853943,0.010088724511727378,1000.0
1.2,-0.16602928904745762,0.00991796796569672,1000.0
1.5,-0.036011695233614596,0.008803871196981537,1000.0
1.8,0.025984399943696262,0.008364755320314152,1000.0
