x2-x1,corr
1,0.534558997761701
2,0.4361011994838638
3,0.23152983436175528
4,0.2326351060544525
5,0.11694448648899719
6,0.12199383580762486
7,0.0658560822977951
8,0.07156256659670562
9,0.034862740608267176
10,0.043429492803268493
11,0.03465292926659167
12,0.024119664174945425
13,0.019204824642964056
14,0.013141068521917628
15,0.01028697518363706
16,0.006688567861113474
17,0.005266299919508896
18,0.0033857608516227986
19,0.002891450820242953
20,0.002043326122792167
21,0.0018059783489160369
22,0.0013726335858390247
23,0.0012088271489924117
24,0.0010050652402675043
25,0.0009652088667229028
26,0.0008393820976189568
27,0.000756984285383365
28,0.0005712149419003908
29,0.0006467345003974585
30,0.0005969977256015753
31,0.0007121851538252586
32,0.0007849192265285721
