Dimerization,ZL,error,N
0.0,0.13813113432297922,0.003589750278687673,1000.0
0.05,0.1279628811340402,0.0037036352505622826,1000.0
0.1,0.10865369083838688,0.004170976049813595,1000.0
0.15,0.0697009377764054,0.0044970024929070615,1000.0
0.2,0.028331994521970494,0.0046081537499732764,1000.0
0.25,-0.01529778101380355,0.00467830123639911,1000.0
0.3,-0.05944156716774358,0.004595786729015578,1000.0
0.35,-0.09620238099774203,0.004101575214377255,1000.0
0.4,-0.11626254559033758,0.003814835766067167,1000.0
0.45,-0.11379101203383536,0.0039015880838682167,1000.0
0.5,-0.08204762098988136,0.004513894133990426,1000.0
0.55,-0.02641150090716532,0.005110829737564716,1000.0
0.6,0.052360896986315845,0.005592945735620343,1000.0
0.65,0.15243349070355056,0.005732181824040096,1000.0
0.7,0.2618892640535482,0.0053020173449767356,1000.0
