Jdis,ZL,error,N
0.7,0.11296078533416529,0.0047231961647758005,1000.0
0.75,0.10359833813309491,0.0047813972318770485,1000.0
0.8,0.09328350842044571,0.004673943815984257,1000.0
0.85,0.08274515905642853,0.004606729286091353,1000.0
0.9,0.07179859110888023,0.004590003004587612,1000.0
0.95,0.0697009377764054,0.0044970024929070615,1000.0
1.0,0.06086474858830062,0.004380738509946134,1000.0
1.1,0.04834102965925022,0.004102582659194623,1000.0
1.2,0.04040420109586615,0.003881123945752391,1000.0
1.3,0.032575886730064084,0.00371909708332025,1000.0
1.4,0.025020324088512347,0.003576372289666625,1000.0
1.5,0.021248549498772473,0.0032934437082253647,1000.0
