Dimerization,ZL,error,N
0.0,0.0077165766909362745,0.0032850360939850965,500.0
0.1,0.0091506295043643,0.003270895504556246,500.0
0.2,0.008036996151753472,0.003368030434984364,500.0
0.3,0.007505260150075535,0.0035565539901928423,500.0
0.4,0.010771262310095044,0.004436539727761493,500.0
0.5,0.02702803401100408,0.005438692455673856,500.0
0.6,0.05411405334257884,0.006979138766298112,500.0
0.7,0.12937052652615974,0.008777373607360252,500.0
0.8,0.23916101280252172,0.010128727024295467,500.0
0.9,0.4060909065558587,0.010708044178140528,499.0
1.0,0.7341281320530333,4.0015567913769785e-10,500.0
