Dimerization,O^z,error,N
0.0,-0.2549237170294342,0.0,1000.0
0.05,-0.2553351629481754,0.0,1000.0
0.1,-0.2585434289610724,0.0,1000.0
0.15,-0.2607848607347252,0.0,1000.0
0.2,-0.26577070908358336,0.0,1000.0
0.25,-0.2688153203570933,0.0,1000.0
0.3,-0.2675317849510825,0.0,1000.0
0.35,-0.2623869968516768,0.0,1000.0
0.4,-0.25096105536807484,0.0,1000.0
0.45,-0.23146671458466045,0.0,1000.0
0.5,-0.20253449305405433,0.0,1000.0
0.55,-0.16385204606938378,0.0,1000.0
0.6,-0.1197042546591648,0.0,1000.0
0.65,-0.07619058861570371,0.0,1000.0
0.7,-0.04026940912441051,0.0,1000.0
