Dimerization,O^z,error,N
0.0,-0.19650485040649815,0.0,1000.0
0.05,-0.19803067734155347,0.0,1000.0
0.1,-0.20142794901804803,0.0,1000.0
0.15,-0.20579494241585783,0.0,1000.0
0.2,-0.212283834915119,0.0,1000.0
0.25,-0.2159255153294849,0.0,1000.0
0.3,-0.2165242764510815,0.0,1000.0
0.35,-0.21205624187697372,0.0,1000.0
0.4,-0.19946897415864442,0.0,1000.0
0.45,-0.17786662202304726,0.0,1000.0
0.5,-0.14454396576482786,0.0,1000.0
0.55,-0.10326406360126067,0.0,1000.0
0.6,-0.06435259162077138,0.0,1000.0
0.65,-0.033426974298907335,0.0,1000.0
0.7,-0.013086855459987877,0.0,1000.0
