Dimerization,ZL,error
0.0,-0.3132096566517025,0.0
0.05,-0.03563657970986052,0.0
0.1,0.3822520062920301,0.0
0.15,0.4789455963789943,0.0
0.2,0.5710867836043141,0.0
0.25,0.706549851207269,0.0
0.3,0.7338108536318698,0.0
0.35,0.7361081634032096,0.0
0.4,0.7974190206554964,0.0
0.45,0.8221603709015308,0.0
0.5,0.8371746245808047,0.0
0.55,0.8553342778053616,0.0
0.6,0.8517369196909894,0.0
0.65,0.8618241758038283,0.0
0.7,0.8726906563110078,0.0
0.75,0.8804767467055153,0.0
0.8,0.8864636115112412,0.0
0.85,0.8916687280303994,0.0
0.9,0.8961628183110639,0.0
0.95,0.8996991019834395,0.0
1.0,0.9022252483954216,0.0
