Jdis,O^z,error,N
0.7,-0.20253449305405433,0.0008413420159089519,1000.0
0.75,-0.19169192736637042,0.0008573279467652856,1000.0
0.8,-0.1818799648789389,0.0008784922441339011,1000.0
0.85,-0.17503042896514137,0.0008822563435310389,1000.0
0.9,-0.1657125924217152,0.0008959557683727701,1000.0
0.95,-0.16017763832117457,0.0008967265940279867,1000.0
1.0,-0.15373199035301344,0.0009127863622807544,1000.0
1.1,-0.13823910735246447,0.0009218425681011775,1000.0
1.2,-0.12699952697969086,0.0009297014016911986,1000.0
1.3,-0.1193421220054679,0.0009307765853810004,1000.0
1.4,-0.10868624132557375,0.0009414452636333834,1000.0
1.5,-0.10000314986433953,0.0009435837711203387,1000.0
