Jdis,O^z,error,N
0.7,-0.19946897415864442,0.0006131825344866479,1000.0
0.75,-0.1884707944554644,0.0006279679528623783,1000.0
0.8,-0.17798007444619157,0.0006398221109574064,1000.0
0.85,-0.16570126111664216,0.0006420626294187784,1000.0
0.9,-0.1553653997533335,0.0006564718398405853,1000.0
0.95,-0.14487052795298733,0.0006525344309006041,1000.0
1.0,-0.136600915578218,0.0006566176196620753,1000.0
1.1,-0.12100471974965445,0.0006631220500972877,1000.0
1.2,-0.10934073752154944,0.0006527745147959113,1000.0
1.3,-0.09645085732838428,0.0006429463275506124,1000.0
1.4,-0.08541485891252897,0.000643725978021728,1000.0
1.5,-0.07828253234955856,0.000632553433033962,1000.0
