Dimerization,ZL,error,N
0.0,0.01291269061320573,0.000898282858958372,6999.0
0.05,0.013025080204685766,0.0009090878287589283,6998.0
0.1,0.009611268637997876,0.0009252475348265938,6999.0
0.15,0.009295710035504534,0.0009662328529259022,7000.0
0.2,0.00458968997423128,0.0009905775269246446,7000.0
0.25,0.0006335127710857631,0.001009169098116058,7000.0
0.3,-0.000786334695582488,0.001070856437066236,6999.0
0.35,-0.0021711419392032925,0.0011272324475648352,7000.0
0.4,0.00017993731856337262,0.001211883289009005,7000.0
0.45,0.005242428921467159,0.0013597265661409856,7000.0
0.5,0.014744039380567814,0.001511003708473448,6999.0
