Jdis,ZL,error,N
0.7,-0.18802695100848005,0.0038832079608302436,1000.0
0.75,-0.17550885741389632,0.0037103857679671158,1000.0
0.8,-0.15908966979551545,0.003912487980053561,1000.0
0.85,-0.14500723981537583,0.003925861627253739,1000.0
0.9,-0.12460563172255289,0.003845890786582985,1000.0
0.95,-0.11626254559033758,0.003814835766067167,1000.0
1.0,-0.10216385075685445,0.003891647742995114,1000.0
1.1,-0.08196963011204421,0.003889318686144309,1000.0
1.2,-0.06590539830659926,0.003852775122027476,1000.0
1.3,-0.053677396281459046,0.00363887453604851,1000.0
1.4,-0.039088028966335814,0.0035972441504475722,1000.0
1.5,-0.029287717204129097,0.0034309720669859624,1000.0
