Dimerization,O^z,error,N
0.05,-0.03410624887330615,0.0002531895570078833,3000.0
0.1,-0.03388587509288961,0.00025795080225813336,3000.0
0.15,-0.03273626106400194,0.00025253693723890496,3000.0
0.2,-0.03225015510425551,0.00024909880165435684,2999.0
0.25,-0.029691878459119598,0.00023861133566440565,3000.0
0.3,-0.02806294352628143,0.00023713005250041534,3000.0
0.35,-0.026174899394352816,0.00022864043509408135,3000.0
0.4,-0.024639399618677966,0.00022112801358886898,3000.0
0.45,-0.020942153602656707,0.00020814809223291042,3000.0
0.5,-0.018590262097148955,0.00019460290624861935,3000.0
