Dimerization,O^z,error,N
0.05,-0.03405631029125615,0.00022024856523987003,4000.0
0.1,-0.033800923461984246,0.00022136569459568493,4000.0
0.15,-0.03283344320747155,0.00021732426388170018,4000.0
0.2,-0.03192908524423733,0.00021336650752122897,3999.0
0.25,-0.02964017740471488,0.00020667362205674682,4000.0
0.3,-0.02806807738151529,0.00020613996089940552,4000.0
0.35,-0.026212651561519706,0.0001986242018880304,4000.0
0.4,-0.02455668591770871,0.00019092435540711645,4000.0
0.45,-0.021248801022933587,0.0001803959404515807,4000.0
0.5,-0.01875708837012519,0.00016930553723366111,4000.0
