Jdis,O^z,error,N
0.7,-0.212283834915119,0.0005398891004208194,1000.0
0.75,-0.20479533013444295,0.0005603367246789219,1000.0
0.8,-0.19850706157236378,0.0005638560874650634,1000.0
0.85,-0.1907084485728063,0.0005825033680784018,1000.0
0.9,-0.18243406444702961,0.0006042439875969984,1000.0
0.95,-0.1733559691119917,0.0006143880216503875,1000.0
1.0,-0.16637883798996894,0.0006329106097596943,1000.0
1.1,-0.15210619341583362,0.0006490868715385058,1000.0
1.2,-0.13877914653007,0.0006578965326695286,1000.0
1.3,-0.12557350350619845,0.000669710791092696,1000.0
1.4,-0.11359419654531704,0.0006750639844931371,1000.0
1.5,-0.10359792377771405,0.0006621703096040931,1000.0
