Dimerization,ZL,error
0.0,-0.7782032324726553,0.0
0.05,-0.7378483176390147,0.0
0.1,-0.4432541396925401,0.0
0.15,0.3248276500636865,0.0
0.2,0.5432567668725229,0.0
0.25,0.6337092446322558,0.0
0.3,0.7025678204823605,0.0
0.35,0.7336064027456013,0.0
0.4,0.7876725332132298,0.0
0.45,0.8156701072372656,0.0
0.5,0.8303518459939588,0.0
0.55,0.8479807579327236,0.0
0.6,0.8605285011487329,0.0
0.65,0.868472622886398,0.0
0.7,0.8747676343602478,0.0
0.75,0.8826481172646176,0.0
0.8,0.8884623951443221,0.0
0.85,0.8924139567596302,0.0
0.9,0.8957473287563988,0.0
0.95,0.8993353879784807,0.0
1.0,0.9022252483954196,0.0
