Dimerization,ZL,error,N
0.0,0.007641832725492854,0.0032870369998097434,500.0
0.1,0.0031566220949834373,0.0031207011847376974,500.0
0.2,0.007343185472138137,0.0034627282057810896,500.0
0.3,0.007694619156742216,0.003935472846407163,500.0
0.4,0.00914471920411367,0.004453437056206162,499.0
0.5,0.033446464594451324,0.005711233385647936,499.0
0.6,0.0523561823224858,0.006863594426596429,499.0
0.7,0.11641521448399136,0.008597439652139325,499.0
0.8,0.21750364947307388,0.009978467048965291,500.0
0.9,0.38457927105793177,0.010616035396133984,497.0
1.0,0.7341280800534546,3.921286401559083e-08,500.0
