Dimerization,O^z,error,N
0.05,-0.04300585213676178,0.00023472965327161753,4000.0
0.1,-0.043209039976388926,0.00023302579778180892,4000.0
0.15,-0.04096898214090842,0.00022643706860318687,4000.0
0.2,-0.04059153297510362,0.00022527630864592918,4000.0
0.25,-0.03804026862340921,0.000218568659633027,4000.0
0.3,-0.03569071012609013,0.000217526060596405,4000.0
0.35,-0.032344020057304794,0.00020818649806573063,4000.0
0.4,-0.029764624069640245,0.00020052416826714554,4000.0
0.45,-0.026709128628500677,0.00019037989957190228,4000.0
0.5,-0.021519677771995014,0.000173757583547022,4000.0
