Dimerization,O^z,error
0.1,0.24903782901865884,0.000838091407119991
0.12,0.23740835716280984,0.0008765238282078277
0.14,0.2175630853047455,0.0009183114594832753
0.16,0.19469826054185466,0.0010184982568272774
0.18,0.17170359431488583,0.0009962890251971983
0.2,0.12697539131805963,0.0010755561100762635
0.22,0.08056156408922445,0.000918050442325654
0.24,0.04305694021097018,0.0007109330435652953
0.26,0.020376295402993953,0.0004947630158712243
0.28,0.0064034462704511685,0.00027261519539094537
0.3,0.0005759567472368668,6.45023684782494e-05
0.32,7.803170991391296e-05,5.743132381593951e-06
0.34,0.00019757971674590294,3.34330704019441e-05
0.36,4.527529872084944e-07,9.669910737941323e-08
0.38,1.477637028080828e-08,5.4646945089545106e-08
0.4,-1.3232820223705793e-07,9.217907542887745e-08
0.42,-9.405557142789551e-07,5.484682474119581e-07
0.44,6.004371856975275e-09,2.4229298935316627e-09
0.46,-1.3641804388301925e-10,1.4225398630343778e-10
0.48,3.9355895448010525e-05,8.869283406024647e-06
0.5,-1.8732293374982642e-10,6.186522454790139e-11
0.52,3.3832520018798433e-09,1.0483432526273388e-09
0.54,5.401052625512877e-09,1.5322902705630718e-09
0.56,1.30695367614157e-11,5.2044700103273806e-12
0.58,-2.5827106161127606e-12,1.3326991317623815e-12
0.6,4.1962714588895766e-11,3.6403600729931795e-11
