delta,O^z
0.1,2.0151660455761157e-05
0.2,-5.563828404427158e-07
0.3,8.138446004554995e-06
0.4,6.226350343645414e-07
0.5,2.9554279444447087e-06
0.6,3.786716547187572e-07
0.7,4.4232853940712423e-07
0.8,-2.191734471582501e-06
0.9,6.805495693656871e-06
1.0,-4.0030953476406856e-06
1.1,5.754913656686867e-05
1.2,9.385190486161118e-05
1.3,1.0619652730613816e-05
1.4,0.0004669343145761479
1.5,0.00018768569052239587
