Jdis,ZL,error,N
0.5,0.3510698570580969,0.0024275900192596463,2000.0
1.0,0.11168867994700463,0.002752056011110034,2000.0
1.5,0.028736852532991197,0.002041196581532608,2000.0
2.0,0.00521711190228486,0.0016084300199140764,2000.0
2.5,0.00289676053672248,0.0016820103838976756,1994.0
3.0,0.004336061847713531,0.001713910431778252,1960.0
3.5,0.0035373636168761933,0.0018981347042521832,1887.0
4.0,0.005636352197581449,0.00201522062553644,1772.0
4.5,0.005752529297401385,0.0021863500013871383,1629.0
5.0,0.004625983589728915,0.0023131598435554186,1446.0
5.5,0.003696660511645284,0.002616414666183558,1194.0
6.0,0.00542136896940966,0.0028562738105181516,1043.0
