Jdis,ZL,error,N
0.5,0.2604134753236052,0.0010338354114527634,5000.0
1.0,0.1392392284139901,0.0014565595378095246,5000.0
1.5,0.0674168867605041,0.0014073024857638023,5000.0
2.0,0.031604568252074146,0.001232134267793184,5000.0
2.5,0.01711134854546472,0.0010719640910937895,5000.0
3.0,0.009438320625601853,0.0009790509042043052,5000.0
3.5,0.004372268695173804,0.0009271694350674141,4995.0
4.0,0.005217611871177117,0.0009147308505196493,4988.0
4.5,0.003567347679582491,0.0009216745711530373,4956.0
5.0,0.00443088542147689,0.000955115294515095,4896.0
5.5,0.0038356897929348677,0.0009799662358971274,4810.0
6.0,0.005644039311505481,0.0010543973313178272,4704.0
