x2-x1,corr
1.0,9.072644050011595
2.0,8.80735918670257
3.0,8.787471497116941
4.0,8.778122473379407
5.0,8.802778977522696
6.0,8.800743992630936
7.0,8.791926895724803
8.0,8.798232157344714
9.0,8.788956089694786
10.0,8.79715131684373
11.0,8.797133673438909
12.0,8.797097580227344
13.0,8.797058523860008
14.0,8.797062297962393
15.0,8.797073160644754
16.0,8.79706083361779
17.0,8.797033157226236
18.0,8.796998402945263
19.0,8.796963078617297
20.0,8.796992032973321
21.0,8.797007711400418
22.0,8.79697184355214
23.0,8.796955352566544
24.0,8.79693095866215
25.0,8.796962433264833
26.0,8.797042100825433
27.0,8.797053675390643
28.0,8.797030688339234
29.0,8.79709463247563
30.0,8.797158438171907
31.0,8.79715136471132
32.0,8.797170598737294
33.0,8.797187227383592
34.0,8.797215894681335
35.0,8.797245045428076
36.0,8.797228120617033
37.0,8.79723731590108
38.0,8.797258060270321
39.0,8.797248482940303
40.0,8.797224531590818
41.0,8.797211949164785
42.0,8.79719286221506
43.0,8.797227588530555
44.0,8.797215033376368
45.0,8.797224073343488
46.0,8.797278329145453
47.0,8.797235853561396
48.0,8.797243960656349
49.0,8.797277201379586
50.0,8.797281456298569
51.0,8.797293276283877
52.0,8.797232195060934
53.0,8.797217474633513
54.0,8.797290592695363
55.0,8.79731310037782
56.0,8.797320176638195
57.0,8.797334803335822
58.0,8.797380052732128
59.0,8.797369999761973
60.0,8.797358748835613
61.0,8.7973811715964
62.0,8.797301225009866
63.0,8.797304968971998
64.0,8.797342540167293
65.0,8.797331522339588
66.0,8.797292194687076
67.0,8.797245866697484
68.0,8.797195837574439
69.0,8.797173433794228
70.0,8.797205654089908
71.0,8.79721295740541
72.0,8.797214458271638
73.0,8.797219599347077
74.0,8.797267770932503
75.0,8.79727951233473
76.0,8.797213293512502
77.0,8.797216390245424
78.0,8.79720116069688
79.0,8.797169173142677
80.0,8.797214149277705
81.0,8.797198331911758
82.0,8.797200606055963
83.0,8.797190003177327
84.0,8.797221613278998
85.0,8.797237421495883
86.0,8.79718005427011
87.0,8.797142219188276
88.0,8.797171549229947
89.0,8.797183990536068
90.0,8.797214478962653
91.0,8.797274897834226
92.0,8.797225859666018
93.0,8.797245314851006
94.0,8.79725492933584
95.0,8.797191381960271
96.0,8.797173305734294
97.0,8.797138080899813
98.0,8.797167043768782
99.0,8.797288085559844
100.0,8.797288128796444
101.0,8.797218500943194
102.0,8.79724595794448
103.0,8.797246874344316
104.0,8.797200281615476
105.0,8.797164610613617
106.0,8.797093818117203
107.0,8.797075711992806
108.0,8.797091648971252
109.0,8.797107638926125
110.0,8.797095970420358
111.0,8.797021837348163
112.0,8.797045519601486
113.0,8.79715399023227
114.0,8.797114803343918
115.0,8.797012533744107
116.0,8.796981785636442
117.0,8.797011086338761
118.0,8.797048224205971
119.0,8.79701249969407
120.0,8.796994949956074
121.0,8.797021347362685
122.0,8.796986445145324
123.0,8.796999519244322
124.0,8.797012467188534
125.0,8.797010992968849
126.0,8.797005814570115
127.0,8.796951333249341
128.0,8.79691654212022
